time	V(vout)
1.681204687574777e-03	-2.977884e-01
1.686087500074777e-03	-3.161652e-01
1.690970312574777e-03	-3.342308e-01
1.695853125074776e-03	-3.519145e-01
1.700735937574776e-03	-3.691266e-01
1.705618750074776e-03	-3.857535e-01
1.710501562574776e-03	-4.016550e-01
1.715384375074776e-03	-4.166642e-01
1.720267187574776e-03	-4.305947e-01
1.725150000074776e-03	-4.432571e-01
1.730032812574776e-03	-4.544833e-01
1.739798437574776e-03	-4.722384e-01
1.744681250074775e-03	-4.787752e-01
1.749564062574775e-03	-4.838945e-01
1.754446875074775e-03	-4.877785e-01
1.759329687574775e-03	-4.906336e-01
1.764212500074775e-03	-4.926621e-01
1.769095312574775e-03	-4.940442e-01
1.773978125074775e-03	-4.949283e-01
1.778860937574775e-03	-4.954309e-01
1.783743750074775e-03	-4.956392e-01
1.788626562574775e-03	-4.956169e-01
1.793509375074774e-03	-4.954093e-01
1.798392187574774e-03	-4.950479e-01
1.803275000074774e-03	-4.945543e-01
1.808157812574774e-03	-4.939430e-01
1.817923437574774e-03	-4.924005e-01
1.832571875074774e-03	-4.893353e-01
1.847220312574773e-03	-4.853563e-01
1.856985937574773e-03	-4.821560e-01
1.866751562574773e-03	-4.784733e-01
1.876517187574773e-03	-4.742585e-01
1.886282812574772e-03	-4.694507e-01
1.896048437574772e-03	-4.639770e-01
1.905814062574772e-03	-4.577508e-01
1.915579687574772e-03	-4.506703e-01
1.920462500074772e-03	-4.467737e-01
1.925345312574772e-03	-4.426182e-01
1.930228125074771e-03	-4.381867e-01
1.939993750074771e-03	-4.284227e-01
1.944876562574771e-03	-4.230520e-01
1.949759375074771e-03	-4.173287e-01
1.954642187574771e-03	-4.112329e-01
1.959525000074771e-03	-4.047443e-01
1.964407812574771e-03	-3.978429e-01
1.969290625074771e-03	-3.905098e-01
1.974173437574771e-03	-3.827269e-01
1.979056250074771e-03	-3.744774e-01
1.983939062574771e-03	-3.657467e-01
1.988821875074770e-03	-3.565223e-01
1.993704687574770e-03	-3.467939e-01
1.998587500074770e-03	-3.365543e-01
2.003470312574770e-03	-3.257989e-01
2.008353125074770e-03	-3.145263e-01
2.013235937574770e-03	-3.027378e-01
2.018118750074770e-03	-2.904377e-01
2.023001562574770e-03	-2.776329e-01
2.027884375074770e-03	-2.643328e-01
2.032767187574770e-03	-2.505493e-01
2.037650000074769e-03	-2.362958e-01
2.042532812574769e-03	-2.215879e-01
2.047415625074769e-03	-2.064424e-01
2.052298437574769e-03	-1.908774e-01
2.057181250074769e-03	-1.749121e-01
2.062064062574769e-03	-1.585662e-01
2.066946875074769e-03	-1.418605e-01
2.071829687574769e-03	-1.248160e-01
2.076712500074769e-03	-1.074544e-01
2.081595312574768e-03	-8.979751e-02
2.091360937574768e-03	-5.368653e-02
2.096243750074768e-03	-3.527729e-02
2.101126562574768e-03	-1.666231e-02
2.106009375074768e-03	2.135733e-03
2.110892187574768e-03	2.109409e-02
2.120657812574768e-03	5.940066e-02
2.125540625074768e-03	7.870322e-02
2.130423437574767e-03	9.807485e-02
2.135306250074767e-03	1.174926e-01
2.140189062574767e-03	1.369335e-01
2.145071875074767e-03	1.563743e-01
2.149954687574767e-03	1.757916e-01
2.154837500074767e-03	1.951612e-01
2.159720312574767e-03	2.144584e-01
2.164603125074767e-03	2.336571e-01
2.169485937574767e-03	2.527290e-01
2.174368750074766e-03	2.716431e-01
2.179251562574766e-03	2.903636e-01
2.184134375074766e-03	3.088484e-01
2.189017187574766e-03	3.270460e-01
2.193900000074766e-03	3.448921e-01
2.198782812574766e-03	3.623050e-01
2.203665625074766e-03	3.791813e-01
2.208548437574766e-03	3.953916e-01
2.213431250074766e-03	4.107792e-01
2.218314062574766e-03	4.251643e-01
2.223196875074765e-03	4.383559e-01
2.228079687574765e-03	4.501741e-01
2.232962500074765e-03	4.604783e-01
2.237845312574765e-03	4.691958e-01
2.242728125074765e-03	4.763392e-01
2.247610937574765e-03	4.820061e-01
2.252493750074765e-03	4.863602e-01
2.257376562574765e-03	4.896017e-01
2.262259375074765e-03	4.919377e-01
2.267142187574765e-03	4.935587e-01
2.272025000074764e-03	4.946263e-01
2.276907812574764e-03	4.952695e-01
2.281790625074764e-03	4.955867e-01
2.286673437574764e-03	4.956503e-01
2.291556250074764e-03	4.955123e-01
2.296439062574764e-03	4.952093e-01
2.301321875074764e-03	4.947666e-01
2.306204687574764e-03	4.942010e-01
2.311087500074764e-03	4.935237e-01
2.325735937574763e-03	4.908767e-01
2.340384375074763e-03	4.873309e-01
2.350150000074763e-03	4.844443e-01
2.359915625074763e-03	4.811039e-01
2.369681250074762e-03	4.772673e-01
2.379446875074762e-03	4.728815e-01
2.389212500074762e-03	4.678822e-01
2.398978125074762e-03	4.621925e-01
2.408743750074761e-03	4.557213e-01
2.418509375074761e-03	4.483625e-01
2.423392187574761e-03	4.443125e-01
2.428275000074761e-03	4.399936e-01
2.438040625074761e-03	4.304769e-01
2.442923437574761e-03	4.252414e-01
2.447806250074761e-03	4.196616e-01
2.452689062574761e-03	4.137172e-01
2.457571875074760e-03	4.073881e-01
2.462454687574760e-03	4.006542e-01
2.467337500074760e-03	3.934961e-01
2.472220312574760e-03	3.858951e-01
2.477103125074760e-03	3.778342e-01
2.481985937574760e-03	3.692976e-01
2.486868750074760e-03	3.602720e-01
2.491751562574760e-03	3.507463e-01
2.496634375074760e-03	3.407118e-01
2.501517187574760e-03	3.301632e-01
2.506400000074759e-03	3.190974e-01
2.511282812574759e-03	3.075149e-01
2.516165625074759e-03	2.954187e-01
2.521048437574759e-03	2.828148e-01
2.525931250074759e-03	2.697116e-01
2.530814062574759e-03	2.561199e-01
2.535696875074759e-03	2.420526e-01
2.540579687574759e-03	2.275246e-01
2.545462500074759e-03	2.125520e-01
2.550345312574758e-03	1.971526e-01
2.555228125074758e-03	1.813450e-01
2.560110937574758e-03	1.651489e-01
2.564993750074758e-03	1.485846e-01
2.569876562574758e-03	1.316731e-01
2.574759375074758e-03	1.144357e-01
2.579642187574758e-03	9.689431e-02
2.584525000074758e-03	7.907082e-02
2.594290625074758e-03	4.266694e-02
2.599173437574757e-03	2.413154e-02
2.604056250074757e-03	5.403996e-03
2.608939062574757e-03	-1.349297e-02
2.618704687574757e-03	-5.170409e-02
2.623587500074757e-03	-7.097263e-02
2.628470312574757e-03	-9.031938e-02
2.633353125074757e-03	-1.097214e-01
2.638235937574757e-03	-1.291558e-01
2.643118750074757e-03	-1.485995e-01
2.648001562574756e-03	-1.680290e-01
2.652884375074756e-03	-1.874206e-01
2.657767187574756e-03	-2.067499e-01
2.662650000074756e-03	-2.259912e-01
2.667532812574756e-03	-2.451174e-01
2.672415625074756e-03	-2.640986e-01
2.677298437574756e-03	-2.829011e-01
2.682181250074756e-03	-3.014858e-01
2.687064062574756e-03	-3.198052e-01
2.691946875074755e-03	-3.378007e-01
2.696829687574755e-03	-3.553979e-01
2.701712500074755e-03	-3.725029e-01
2.706595312574755e-03	-3.889968e-01
2.711478125074755e-03	-4.047340e-01
2.716360937574755e-03	-4.195427e-01
2.721243750074755e-03	-4.332346e-01
2.726126562574755e-03	-4.456219e-01
2.731009375074755e-03	-4.565448e-01
2.740775000074754e-03	-4.736663e-01
2.745657812574754e-03	-4.799072e-01
2.750540625074754e-03	-4.847637e-01
2.755423437574754e-03	-4.884252e-01
2.760306250074754e-03	-4.910992e-01
2.765189062574754e-03	-4.929850e-01
2.770071875074754e-03	-4.942566e-01
2.774954687574754e-03	-4.950562e-01
2.779837500074754e-03	-4.954938e-01
2.784720312574753e-03	-4.956515e-01
2.789603125074753e-03	-4.955890e-01
2.794485937574753e-03	-4.953485e-01
2.799368750074753e-03	-4.949592e-01
2.804251562574753e-03	-4.944412e-01
2.809134375074753e-03	-4.938075e-01
2.818900000074753e-03	-4.922239e-01
2.833548437574752e-03	-4.890991e-01
2.848196875074752e-03	-4.850567e-01
2.857962500074752e-03	-4.818102e-01
2.867728125074752e-03	-4.780767e-01
2.877493750074752e-03	-4.738055e-01
2.887259375074751e-03	-4.689346e-01
2.897025000074751e-03	-4.633898e-01
2.906790625074751e-03	-4.570830e-01
2.916556250074751e-03	-4.499109e-01
2.921439062574751e-03	-4.459638e-01
2.926321875074750e-03	-4.417545e-01
2.936087500074750e-03	-4.324791e-01
2.940970312574750e-03	-4.273758e-01
2.945853125074750e-03	-4.219361e-01
2.950735937574750e-03	-4.161400e-01
2.955618750074750e-03	-4.099672e-01
2.960501562574750e-03	-4.033976e-01
2.965384375074750e-03	-3.964115e-01
2.970267187574750e-03	-3.889898e-01
2.975150000074749e-03	-3.811148e-01
2.980032812574749e-03	-3.727702e-01
2.984915625074749e-03	-3.639417e-01
2.989798437574749e-03	-3.546172e-01
2.994681250074749e-03	-3.447871e-01
2.999564062574749e-03	-3.344446e-01
3.004446875074749e-03	-3.235858e-01
3.009329687574749e-03	-3.122098e-01
3.014212500074749e-03	-3.003185e-01
3.019095312574748e-03	-2.879168e-01
3.023978125074748e-03	-2.750121e-01
3.028860937574748e-03	-2.616144e-01
3.033743750074748e-03	-2.477357e-01
3.038626562574748e-03	-2.333901e-01
3.043509375074748e-03	-2.185933e-01
3.048392187574748e-03	-2.033624e-01
3.053275000074748e-03	-1.877158e-01
3.058157812574748e-03	-1.716727e-01
3.063040625074748e-03	-1.552532e-01
3.067923437574747e-03	-1.384780e-01
3.072806250074747e-03	-1.213684e-01
3.077689062574747e-03	-1.039460e-01
3.082571875074747e-03	-8.623263e-02
3.092337500074747e-03	-5.002222e-02
3.097220312574747e-03	-3.157002e-02
3.102103125074747e-03	-1.291662e-02
3.106985937574747e-03	5.915308e-03
3.116751562574746e-03	4.402369e-02
3.126517187574746e-03	8.257276e-02
3.131400000074746e-03	1.019554e-01
3.136282812574746e-03	1.213797e-01
3.141165625074746e-03	1.408224e-01
3.146048437574746e-03	1.602604e-01
3.150931250074746e-03	1.796701e-01
3.155814062574746e-03	1.990273e-01
3.160696875074745e-03	2.183069e-01
3.165579687574745e-03	2.374825e-01
3.170462500074745e-03	2.565255e-01
3.175345312574745e-03	2.754039e-01
3.180228125074745e-03	2.940809e-01
3.185110937574745e-03	3.125128e-01
3.189993750074745e-03	3.306457e-01
3.194876562574745e-03	3.484123e-01
3.199759375074745e-03	3.657270e-01
3.204642187574745e-03	3.824813e-01
3.209525000074744e-03	3.985404e-01
3.214407812574744e-03	4.137425e-01
3.219290625074744e-03	4.279041e-01
3.224173437574744e-03	4.408347e-01
3.229056250074744e-03	4.523596e-01
3.238821875074744e-03	4.707484e-01
3.243704687574744e-03	4.775863e-01
3.248587500074744e-03	4.829758e-01
3.253470312574743e-03	4.870908e-01
3.258353125074743e-03	4.901350e-01
3.263235937574743e-03	4.923135e-01
3.268118750074743e-03	4.938118e-01
3.273001562574743e-03	4.947853e-01
3.277884375074743e-03	4.953564e-01
3.282767187574743e-03	4.956177e-01
3.287650000074743e-03	4.956374e-01
3.292532812574743e-03	4.954640e-01
3.297415625074743e-03	4.951313e-01
3.302298437574742e-03	4.946629e-01
3.307181250074742e-03	4.940742e-01
3.312064062574742e-03	4.933755e-01
3.326712500074742e-03	4.906685e-01
3.341360937574742e-03	4.870616e-01
3.351126562574741e-03	4.841313e-01
3.360892187574741e-03	4.807434e-01
3.370657812574741e-03	4.768544e-01
3.380423437574741e-03	4.724103e-01
3.390189062574741e-03	4.673457e-01
3.399954687574740e-03	4.615822e-01
3.409720312574740e-03	4.550273e-01
3.419485937574740e-03	4.475732e-01
3.424368750074740e-03	4.434708e-01
3.429251562574740e-03	4.390959e-01
3.439017187574740e-03	4.294564e-01
3.443900000074739e-03	4.241536e-01
3.448782812574739e-03	4.185025e-01
3.453665625074739e-03	4.124828e-01
3.458548437574739e-03	4.060744e-01
3.463431250074739e-03	3.992572e-01
3.468314062574739e-03	3.920119e-01
3.473196875074739e-03	3.843203e-01
3.478079687574739e-03	3.761654e-01
3.482962500074739e-03	3.675320e-01
3.487845312574738e-03	3.584072e-01
3.492728125074738e-03	3.487803e-01
3.497610937574738e-03	3.386434e-01
3.502493750074738e-03	3.279914e-01
3.507376562574738e-03	3.168222e-01
3.512259375074738e-03	3.051366e-01
3.517142187574738e-03	2.929383e-01
3.522025000074738e-03	2.802338e-01
3.526907812574738e-03	2.670319e-01
3.531790625074738e-03	2.533440e-01
3.536673437574737e-03	2.391834e-01
3.541556250074737e-03	2.245651e-01
3.546439062574737e-03	2.095057e-01
3.551321875074737e-03	1.940231e-01
3.556204687574737e-03	1.781362e-01
3.561087500074737e-03	1.618648e-01
3.565970312574737e-03	1.452294e-01
3.570853125074737e-03	1.282510e-01
3.575735937574737e-03	1.109511e-01
3.580618750074737e-03	9.335146e-02
3.585501562574736e-03	7.547423e-02
3.595267187574736e-03	3.897632e-02
3.600150000074736e-03	2.040068e-02
3.605032812574736e-03	1.637429e-03
