Freq.	V(rc)
1.13209890211069e+00	3.73992933200939e-03,3.51691145400118e-02
1.13288388529582e+00	3.74505921763129e-03,3.51929532436790e-02
1.13366941277844e+00	3.75019605953477e-03,3.52168073550152e-02
1.13445548493598e+00	3.75533986691440e-03,3.52406768824268e-02
1.13524210214609e+00	3.76049064902159e-03,3.52645618343206e-02
1.13602926478671e+00	3.76564841506884e-03,3.52884622191082e-02
1.13681697323604e+00	3.77081317432002e-03,3.53123780451986e-02
1.13760522787253e+00	3.77598493602023e-03,3.53363093210046e-02
1.13839402907490e+00	3.78116370944629e-03,3.53602560549406e-02
1.13918337722214e+00	3.78634950388598e-03,3.53842182554190e-02
1.13997327269348e+00	3.79154232861874e-03,3.54081959308584e-02
1.14076371586845e+00	3.79674219297547e-03,3.54321890896735e-02
1.14155470712680e+00	3.80194910626292e-03,3.54561977402809e-02
1.14234624684857e+00	3.80716307780001e-03,3.54802218911040e-02
1.14313833541406e+00	3.81238411693650e-03,3.55042615505603e-02
1.14393097320383e+00	3.81761223301411e-03,3.55283167270753e-02
1.14472416059871e+00	3.82284743542082e-03,3.55523874290686e-02
1.14551789797978e+00	3.82808973352096e-03,3.55764736649655e-02
1.14631218572840e+00	3.83333913669028e-03,3.56005754431926e-02
1.14710702422619e+00	3.83859565434123e-03,3.56246927721747e-02
1.14790241385503e+00	3.84385929589818e-03,3.56488256603401e-02
1.14869835499706e+00	3.84913007076100e-03,3.56729741161182e-02
1.14949484803470e+00	3.85440798837693e-03,3.56971381479383e-02
1.15029189335063e+00	3.85969305819473e-03,3.57213177642329e-02
1.15108949132779e+00	3.86498528966902e-03,3.57455129734315e-02
1.15188764234938e+00	3.87028469227215e-03,3.57697237839720e-02
1.15268634679889e+00	3.87559127548181e-03,3.57939502042857e-02
1.15348560506005e+00	3.88090504880338e-03,3.58181922428094e-02
1.15428541751686e+00	3.88622602173804e-03,3.58424499079786e-02
1.15508578455361e+00	3.89155420381442e-03,3.58667232082322e-02
1.15588670655482e+00	3.89688960454659e-03,3.58910121520077e-02
1.15668818390531e+00	3.90223223347636e-03,3.59153167477477e-02
1.15749021699015e+00	3.90758210017219e-03,3.59396370038924e-02
1.15829280619467e+00	3.91293921419335e-03,3.59639729288818e-02
1.15909595190448e+00	3.91830358512177e-03,3.59883245311611e-02
1.15989965450546e+00	3.92367522255062e-03,3.60126918191732e-02
1.16070391438375e+00	3.92905413606457e-03,3.60370748013661e-02
1.16150873192575e+00	3.93444033530036e-03,3.60614734861808e-02
1.16231410751814e+00	3.93983382988193e-03,3.60858878820685e-02
1.16312004154788e+00	3.94523462942870e-03,3.61103179974772e-02
1.16392653440216e+00	3.95064274359810e-03,3.61347638408577e-02
1.16473358646848e+00	3.95605818207381e-03,3.61592254206538e-02
1.16554119813459e+00	3.96148095450620e-03,3.61837027453222e-02
1.16634936978850e+00	3.96691107059832e-03,3.62081958233152e-02
1.16715810181850e+00	3.97234854003852e-03,3.62327046630830e-02
1.16796739461315e+00	3.97779337253801e-03,3.62572292730808e-02
1.16877724856127e+00	3.98324557784030e-03,3.62817696617620e-02
1.16958766405198e+00	3.98870516564444e-03,3.63063258375885e-02
1.17039864147462e+00	3.99417214573248e-03,3.63308978090095e-02
1.17121018121884e+00	3.99964652784804e-03,3.63554855844882e-02
1.17202228367454e+00	4.00512832175582e-03,3.63800891724806e-02
1.17283494923191e+00	4.01061753725919e-03,3.64047085814473e-02
1.17364817828138e+00	4.01611418414158e-03,3.64293438198466e-02
1.17446197121368e+00	4.02161827222531e-03,3.64539948961432e-02
1.17527632841980e+00	4.02712981131243e-03,3.64786618187973e-02
1.17609125029099e+00	4.03264881124339e-03,3.65033445962716e-02
1.17690673721880e+00	4.03817528187082e-03,3.65280432370310e-02
1.17772278959501e+00	4.04370923304868e-03,3.65527577495400e-02
1.17853940781171e+00	4.04925067464815e-03,3.65774881422641e-02
1.17935659226125e+00	4.05479961654206e-03,3.66022344236703e-02
1.18017434333623e+00	4.06035606864636e-03,3.66269966022235e-02
1.18099266142956e+00	4.06592004084762e-03,3.66517746863939e-02
1.18181154693440e+00	4.07149154307042e-03,3.66765686846504e-02
1.18263100024417e+00	4.07707058524607e-03,3.67013786054618e-02
1.18345102175260e+00	4.08265717732869e-03,3.67262044572991e-02
1.18427161185366e+00	4.08825132926841e-03,3.67510462486323e-02
1.18509277094161e+00	4.09385305103830e-03,3.67759039879341e-02
1.18591449941098e+00	4.09946235260741e-03,3.68007776836764e-02
1.18673679765656e+00	4.10507924397843e-03,3.68256673443338e-02
1.18755966607344e+00	4.11070373516594e-03,3.68505729783800e-02
1.18838310505696e+00	4.11633583617020e-03,3.68754945942897e-02
1.18920711500275e+00	4.12197555705113e-03,3.69004322005364e-02
1.19003169630671e+00	4.12762290782331e-03,3.69253858056006e-02
1.19085684936500e+00	4.13327789854445e-03,3.69503554179571e-02
1.19168257457408e+00	4.13894053930598e-03,3.69753410460828e-02
