Freq.	V(rl)
1.13602926478671e+00	4.98085911249686e-01,-1.78211039869429e-02
1.13681697323604e+00	4.98083320275352e-01,-1.78331836300194e-02
1.13760522787253e+00	4.98080725788127e-01,-1.78452710803951e-02
1.13839402907490e+00	4.98078127783381e-01,-1.78573663424102e-02
1.13918337722214e+00	4.98075526256434e-01,-1.78694694203988e-02
1.13997327269348e+00	4.98072921202646e-01,-1.78815803184113e-02
1.14076371586845e+00	4.98070312617343e-01,-1.78936990410590e-02
1.14155470712680e+00	4.98067700495816e-01,-1.79058255924524e-02
1.14234624684857e+00	4.98065084833429e-01,-1.79179599767042e-02
1.14313833541406e+00	4.98062465625463e-01,-1.79301021982009e-02
1.14393097320383e+00	4.98059842867261e-01,-1.79422522610477e-02
1.14472416059871e+00	4.98057216554102e-01,-1.79544101698374e-02
1.14551789797978e+00	4.98054586681286e-01,-1.79665759286659e-02
1.14631218572840e+00	4.98051953244106e-01,-1.79787495416256e-02
1.14710702422619e+00	4.98049316237834e-01,-1.79909310131579e-02
1.14790241385503e+00	4.98046675657770e-01,-1.80031203477037e-02
1.14869835499706e+00	4.98044031499166e-01,-1.80153175492014e-02
1.14949484803470e+00	4.98041383757294e-01,-1.80275226220836e-02
1.15029189335063e+00	4.98038732427431e-01,-1.80397355706383e-02
1.15108949132779e+00	4.98036077504792e-01,-1.80519563990754e-02
1.15188764234938e+00	4.98033418984685e-01,-1.80641851116791e-02
1.15268634679889e+00	4.98030756862304e-01,-1.80764217126517e-02
1.15348560506005e+00	4.98028091132913e-01,-1.80886662064092e-02
1.15428541751686e+00	4.98025421791718e-01,-1.81009185971488e-02
1.15508578455361e+00	4.98022748833972e-01,-1.81131788892795e-02
1.15588670655482e+00	4.98020072254855e-01,-1.81254470868485e-02
1.15668818390531e+00	4.98017392049616e-01,-1.81377231941171e-02
1.15749021699015e+00	4.98014708213465e-01,-1.81500072155530e-02
1.15829280619467e+00	4.98012020741566e-01,-1.81622991553342e-02
1.15909595190448e+00	4.98009329629146e-01,-1.81745990177815e-02
1.15989965450546e+00	4.98006634871380e-01,-1.81869068072094e-02
1.16070391438375e+00	4.98003936463470e-01,-1.81992225276473e-02
1.16150873192575e+00	4.98001234400543e-01,-1.82115461836828e-02
1.16231410751814e+00	4.97998528677825e-01,-1.82238777795533e-02
1.16312004154788e+00	4.97995819290455e-01,-1.82362173192746e-02
1.16392653440216e+00	4.97993106233620e-01,-1.82485648072164e-02
1.16473358646848e+00	4.97990389502408e-01,-1.82609202479506e-02
1.16554119813459e+00	4.97987669092014e-01,-1.82732836454165e-02
1.16634936978850e+00	4.97984944997600e-01,-1.82856550041141e-02
1.16715810181850e+00	4.97982217214247e-01,-1.82980343281804e-02
1.16796739461315e+00	4.97979485737101e-01,-1.83104216218955e-02
1.16877724856127e+00	4.97976750561281e-01,-1.83228168898172e-02
1.16958766405198e+00	4.97974011681948e-01,-1.83352201357249e-02
1.17039864147462e+00	4.97971269094143e-01,-1.83476313643767e-02
1.17121018121884e+00	4.97968522793029e-01,-1.83600505798285e-02
1.17202228367454e+00	4.97965772773658e-01,-1.83724777862665e-02
1.17283494923191e+00	4.97963019031154e-01,-1.83849129882329e-02
1.17364817828138e+00	4.97960261560564e-01,-1.83973561898362e-02
1.17446197121368e+00	4.97957500357023e-01,-1.84098073955418e-02
1.17527632841980e+00	4.97954735415561e-01,-1.84222666093798e-02
1.17609125029099e+00	4.97951966731247e-01,-1.84347338357336e-02
1.17690673721880e+00	4.97949194299160e-01,-1.84472090789839e-02
1.17772278959501e+00	4.97946418114349e-01,-1.84596923433646e-02
1.17853940781171e+00	4.97943638171863e-01,-1.84721836331767e-02
1.17935659226125e+00	4.97940854466743e-01,-1.84846829525763e-02
1.18017434333623e+00	4.97938066994013e-01,-1.84971903061391e-02
1.18099266142956e+00	4.97935275748715e-01,-1.85097056978727e-02
1.18181154693440e+00	4.97932480725876e-01,-1.85222291321342e-02
1.18263100024417e+00	4.97929681920504e-01,-1.85347606132054e-02
1.18345102175260e+00	4.97926879327627e-01,-1.85473001455072e-02
1.18427161185366e+00	4.97924072942231e-01,-1.85598477332423e-02
1.18509277094161e+00	4.97921262759326e-01,-1.85724033807531e-02
1.18591449941098e+00	4.97918448773883e-01,-1.85849670921634e-02
1.18673679765656e+00	4.97915630980915e-01,-1.85975388718799e-02
1.18755966607344e+00	4.97912809375401e-01,-1.86101187243034e-02
1.18838310505696e+00	4.97909983952299e-01,-1.86227066534758e-02
1.18920711500275e+00	4.97907154706574e-01,-1.86353026640733e-02
1.19003169630671e+00	4.97904321633216e-01,-1.86479067599918e-02
1.19085684936500e+00	4.97901484727153e-01,-1.86605189455438e-02
1.19168257457408e+00	4.97898643983344e-01,-1.86731392253242e-02
1.19250887233066e+00	4.97895799396720e-01,-1.86857676035680e-02
1.19333574303176e+00	4.97892950962244e-01,-1.86984040844387e-02
1.19416318707462e+00	4.97890098674814e-01,-1.87110486721622e-02
1.19499120485682e+00	4.97887242529366e-01,-1.87237013711054e-02
1.19581979677616e+00	4.97884382520825e-01,-1.87363621857015e-02
1.19664896323075e+00	4.97881518644103e-01,-1.87490311200965e-02
1.19747870461896e+00	4.97878650894103e-01,-1.87617081785027e-02
1.19830902133945e+00	4.97875779265692e-01,-1.87743933654805e-02
1.19913991379115e+00	4.97872903753806e-01,-1.87870866852375e-02
1.19997138237325e+00	4.97870024353306e-01,-1.87997881419022e-02
1.20080342748524e+00	4.97867141059081e-01,-1.88124977398842e-02
1.20163604952689e+00	4.97864253865998e-01,-1.88252154836589e-02
1.20246924889821e+00	4.97861362768939e-01,-1.88379413772041e-02
1.20330302599954e+00	4.97858467762728e-01,-1.88506754250556e-02
1.20413738123145e+00	4.97855568842267e-01,-1.88634176313272e-02
1.20497231499482e+00	4.97852666002352e-01,-1.88761680005455e-02
1.20580782769080e+00	4.97849759237866e-01,-1.88889265368867e-02
1.20664391972080e+00	4.97846848543619e-01,-1.89016932445176e-02
1.20748059148653e+00	4.97843933914441e-01,-1.89144681279568e-02
1.20831784338998e+00	4.97841015345173e-01,-1.89272511914374e-02
1.20915567583340e+00	4.97838092830617e-01,-1.89400424391150e-02
1.20999408921933e+00	4.97835166365568e-01,-1.89528418755657e-02
1.21083308395059e+00	4.97832235944849e-01,-1.89656495049396e-02
1.21167266043028e+00	4.97829301563248e-01,-1.89784653315221e-02
1.21251281906177e+00	4.97826363215569e-01,-1.89912893595254e-02
1.21335356024873e+00	4.97823420896566e-01,-1.90041215935084e-02
1.21419488439508e+00	4.97820474601039e-01,-1.90169620374633e-02
1.21503679190505e+00	4.97817524323743e-01,-1.90298106960125e-02
1.21587928318313e+00	4.97814570059436e-01,-1.90426675732796e-02
1.21672235863411e+00	4.97811611802908e-01,-1.90555326735992e-02
1.21756601866302e+00	4.97808649548874e-01,-1.90684060011552e-02
1.21841026367523e+00	4.97805683292109e-01,-1.90812875604153e-02
1.21925509407634e+00	4.97802713027323e-01,-1.90941773556971e-02
1.22010051027226e+00	4.97799738749257e-01,-1.91070753911754e-02
1.22094651266917e+00	4.97796760452625e-01,-1.91199816711611e-02
1.22179310167354e+00	4.97793778132204e-01,-1.91328962001071e-02
1.22264027769211e+00	4.97790791782605e-01,-1.91458189822385e-02
1.22348804113190e+00	4.97787801398613e-01,-1.91587500217186e-02
1.22433639240024e+00	4.97784806974899e-01,-1.91716893231229e-02
1.22518533190472e+00	4.97781808506134e-01,-1.91846368905283e-02
1.22603486005320e+00	4.97778805987050e-01,-1.91975927283307e-02
1.22688497725384e+00	4.97775799412282e-01,-1.92105568408089e-02
1.22773568391510e+00	4.97772788776539e-01,-1.92235292323850e-02
1.22858698044569e+00	4.97769774074435e-01,-1.92365099071874e-02
1.22943886725462e+00	4.97766755300685e-01,-1.92494988696310e-02
1.23029134475118e+00	4.97763732449912e-01,-1.92624961240143e-02
1.23114441334496e+00	4.97760705516770e-01,-1.92755016745632e-02
1.23199807344580e+00	4.97757674495886e-01,-1.92885155257105e-02
1.23285232546385e+00	4.97754639381913e-01,-1.93015376816040e-02
1.23370716980954e+00	4.97751600169454e-01,-1.93145681467375e-02
1.23456260689358e+00	4.97748556853148e-01,-1.93276069252854e-02
1.23541863712697e+00	4.97745509427597e-01,-1.93406540215221e-02
1.23627526092099e+00	4.97742457887412e-01,-1.93537094399657e-02
1.23713247868721e+00	4.97739402227170e-01,-1.93667731847042e-02
1.23799029083749e+00	4.97736342441504e-01,-1.93798452601086e-02
1.23884869778395e+00	4.97733278524978e-01,-1.93929256705407e-02
1.23970769993903e+00	4.97730210472150e-01,-1.94060144202169e-02
1.24056729771543e+00	4.97727138277627e-01,-1.94191115134594e-02
1.24142749152615e+00	4.97724061935969e-01,-1.94322169547598e-02
1.24228828178448e+00	4.97720981441714e-01,-1.94453307481091e-02
1.24314966890398e+00	4.97717896789417e-01,-1.94584528981323e-02
1.24401165329851e+00	4.97714807973669e-01,-1.94715834088873e-02
1.24487423538221e+00	4.97711714988957e-01,-1.94847222847739e-02
1.24573741556952e+00	4.97708617829822e-01,-1.94978695300863e-02
1.24660119427514e+00	4.97705516490813e-01,-1.95110251492918e-02
1.24746557191409e+00	4.97702410966436e-01,-1.95241891463912e-02
1.24833054890166e+00	4.97699301251198e-01,-1.95373615259823e-02
1.24919612565342e+00	4.97696187339593e-01,-1.95505422921275e-02
1.25006230258525e+00	4.97693069226149e-01,-1.95637314493481e-02
1.25092908011331e+00	4.97689946905321e-01,-1.95769290018725e-02
1.25179645865404e+00	4.97686820371650e-01,-1.95901349539671e-02
1.25266443862417e+00	4.97683689619555e-01,-1.96033493099208e-02
1.25353302044074e+00	4.97680554643529e-01,-1.96165720742005e-02
1.25440220452104e+00	4.97677415438043e-01,-1.96298032508788e-02
1.25527199128269e+00	4.97674271997555e-01,-1.96430428443768e-02
1.25614238114357e+00	4.97671124316509e-01,-1.96562908591460e-02
1.25701337452187e+00	4.97667972389344e-01,-1.96695472992797e-02
1.25788497183606e+00	4.97664816210518e-01,-1.96828121691873e-02
1.25875717350490e+00	4.97661655774453e-01,-1.96960854731295e-02
1.25962997994745e+00	4.97658491075560e-01,-1.97093672153978e-02
1.26050339158303e+00	4.97655322108257e-01,-1.97226574004925e-02
1.26137740883130e+00	4.97652148866967e-01,-1.97359560323795e-02
1.26225203211216e+00	4.97648971346082e-01,-1.97492631156903e-02
1.26312726184585e+00	4.97645789540008e-01,-1.97625786546291e-02
1.26400309845285e+00	4.97642603443118e-01,-1.97759026533935e-02
1.26487954235398e+00	4.97639413049830e-01,-1.97892351163219e-02
1.26575659397033e+00	4.97636218354482e-01,-1.98025760478488e-02
1.26663425372327e+00	4.97633019351454e-01,-1.98159254521597e-02
1.26751252203447e+00	4.97629816035106e-01,-1.98292833337181e-02
1.26839139932591e+00	4.97626608399796e-01,-1.98426496965585e-02
1.26927088601985e+00	4.97623396439874e-01,-1.98560245452057e-02
1.27015098253884e+00	4.97620180149674e-01,-1.98694078839672e-02
1.27103168930571e+00	4.97616959523544e-01,-1.98827997170412e-02
1.27191300674362e+00	4.97613734555801e-01,-1.98962000487256e-02
1.27279493527599e+00	4.97610505240758e-01,-1.99096088834198e-02
1.27367747532655e+00	4.97607271572739e-01,-1.99230262253431e-02
